Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2004-02-12T01:00:00Z,0.17,,20.08
M,H,2004-02-12T02:00:00Z,0.17,,16.99
M,H,2004-02-12T03:00:00Z,0.17,,15.96
M,H,2004-02-12T05:00:00Z,0.17,,16.47
M,H,2004-02-12T06:00:00Z,0.17,,13.9
M,H,2004-02-12T07:00:00Z,0.17,,13.38
M,H,2004-02-16T00:00:00Z,0.17,,12.87
M,H,2004-02-17T02:00:00Z,0.17,,12.35
M,H,2004-02-17T18:00:00Z,0.17,,10.81
M,H,2004-02-18T01:00:00Z,0.17,,12.87
M,H,2004-02-18T02:00:00Z,0.17,,12.35
M,H,2004-02-18T06:00:00Z,0.17,,11.84
M,H,2004-02-18T19:00:00Z,0.17,,13.38
M,H,2004-02-18T20:00:00Z,0.17,,14.41
M,H,2004-02-18T21:00:00Z,0.17,,21.11
M,H,2004-02-19T00:00:00Z,0.17,,14.93
M,H,2004-02-19T01:00:00Z,0.17,,14.93
M,H,2004-02-19T02:00:00Z,0.17,,12.87
M,H,2004-02-19T15:00:00Z,0.17,,15.44
M,H,2004-02-19T16:00:00Z,0.17,,16.99
M,H,2004-02-19T21:00:00Z,0.17,,20.59
M,H,2004-02-19T22:00:00Z,0.17,,15.44
M,H,2004-02-19T23:00:00Z,0.17,,17.5
M,H,2004-02-20T00:00:00Z,0.17,,16.99
M,H,2004-02-20T01:00:00Z,0.17,,15.44
M,H,2004-02-20T02:00:00Z,0.17,,15.44
M,H,2004-02-20T05:00:00Z,0.17,,17.5
M,H,2004-02-20T06:00:00Z,0.17,,13.9
M,H,2004-02-21T05:00:00Z,0.17,,16.99
M,H,2004-02-21T10:00:00Z,0.17,,19.05
M,H,2004-02-21T11:00:00Z,0.17,,17.5
M,H,2004-02-21T12:00:00Z,0.17,,12.35
M,H,2004-02-24T01:00:00Z,0.17,,23.68
M,H,2004-02-24T02:00:00Z,0.17,,20.59
M,H,2004-02-24T03:00:00Z,0.17,,23.68
M,H,2004-02-24T05:00:00Z,0.17,,23.16
M,H,2004-02-24T06:00:00Z,0.17,,29.86
M,H,2004-02-24T07:00:00Z,0.17,,21.11
M,H,2004-02-24T08:00:00Z,0.17,,22.14
M,H,2004-02-24T09:00:00Z,0.17,,21.62
M,H,2004-02-24T10:00:00Z,0.17,,21.62
M,H,2004-02-24T11:00:00Z,0.17,,21.62
M,H,2004-02-24T12:00:00Z,0.17,,20.59
M,H,2004-02-24T13:00:00Z,0.17,,22.65
M,H,2004-02-24T14:00:00Z,0.17,,18.53
M,H,2004-02-24T15:00:00Z,0.17,,17.5
M,H,2004-02-24T17:00:00Z,0.17,,16.99
M,H,2004-02-24T18:00:00Z,0.17,,16.99
M,H,2004-02-24T20:00:00Z,0.17,,13.9
M,H,2004-02-24T23:00:00Z,0.17,,12.87
M,H,2004-02-25T00:00:00Z,0.17,,15.96
